STATUS;VALID_ON;LOT_TYPE_FK;IDE_SCENARIO_FK;IDE_GL_REF;IDE_GL_DETAIL_REF;IDE_GL_ENTITY_REF;TYP_AMOUNT;IDE_CONTRACT_REF;IDE_INTERNAL_PARTY_REF;TYP_DC_INDICATOR;CCY_ISO_CURRENCY;OCA_AMOUNT;RCA_AMOUNT;TYP_GL_TYPE;DTE_VALUE;AUDIT_INFO
5;20230731;1;1;GEL_2223164;0;0;1;;CTP_CKV;2;EUR;337547.88;337547.88;2;31/07/2023;
5;20230731;1;1;GEL_2223165;0;0;1;;CTP_CKV;2;EUR;6.44;6.44;2;31/07/2023;
5;20230731;1;1;GEL_2223170;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2223171;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2223172;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2223173;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2223174;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2223300;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2223310;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2323000;0;0;1;;CTP_CKV;2;EUR;1872.77;1872.77;2;31/07/2023;
5;20230731;1;1;GEL_2323010;0;0;1;;CTP_CKV;2;EUR;212652.31;212652.31;2;31/07/2023;
5;20230731;1;1;GEL_2323015;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2411100;0;0;1;;CTP_CKV;2;EUR;93547.29;93547.29;2;31/07/2023;
5;20230731;1;1;GEL_2411200;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2411210;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2411211;0;0;1;;CTP_CKV;2;EUR;18991.50;18991.50;2;31/07/2023;
5;20230731;1;1;GEL_2411220;0;0;1;;CTP_CKV;2;EUR;1881.93;1881.93;2;31/07/2023;
5;20230731;1;1;GEL_2411230;0;0;1;;CTP_CKV;2;EUR;4859.69;4859.69;2;31/07/2023;
5;20230731;1;1;GEL_2411240;0;0;1;;CTP_CKV;2;EUR;2598.38;2598.38;2;31/07/2023;
5;20230731;1;1;GEL_2411250;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2411260;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2411270;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2411280;0;0;1;;CTP_CKV;2;EUR;62023.06;62023.06;2;31/07/2023;
5;20230731;1;1;GEL_2411290;0;0;1;;CTP_CKV;2;EUR;78348.45;78348.45;2;31/07/2023;
5;20230731;1;1;GEL_2411291;0;0;1;;CTP_CKV;2;EUR;14725.87;14725.87;2;31/07/2023;
5;20230731;1;1;GEL_2411295;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2411296;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2411300;0;0;1;;CTP_CKV;2;EUR;1155.00;1155.00;2;31/07/2023;
5;20230731;1;1;GEL_2411310;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2411320;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2411330;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2411400;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2411500;0;0;1;;CTP_CKV;2;EUR;33080.61;33080.61;2;31/07/2023;
5;20230731;1;1;GEL_2412100;0;0;1;;CTP_CKV;1;EUR;7.89;7.89;2;31/07/2023;
5;20230731;1;1;GEL_2412200;0;0;1;;CTP_CKV;2;EUR;34779.71;34779.71;2;31/07/2023;
5;20230731;1;1;GEL_2412300;0;0;1;;CTP_CKV;2;EUR;319479.79;319479.79;2;31/07/2023;
5;20230731;1;1;GEL_2412400;0;0;1;;CTP_CKV;2;EUR;141613.38;141613.38;2;31/07/2023;
5;20230731;1;1;GEL_2412500;0;0;1;;CTP_CKV;2;EUR;405000.00;405000.00;2;31/07/2023;
5;20230731;1;1;GEL_2412510;0;0;1;;CTP_CKV;2;EUR;82271.66;82271.66;2;31/07/2023;
5;20230731;1;1;GEL_2421050;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2421060;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2421100;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2421150;0;0;1;;CTP_CKV;2;EUR;321475.42;321475.42;2;31/07/2023;
5;20230731;1;1;GEL_2421300;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2421400;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2421500;0;0;1;;CTP_CKV;2;EUR;185715.14;185715.14;2;31/07/2023;
5;20230731;1;1;GEL_2421501;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2421510;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2421520;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2421600;0;0;1;;CTP_CKV;2;EUR;308034.83;308034.83;2;31/07/2023;
5;20230731;1;1;GEL_2421610;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2421620;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2421630;0;0;1;;CTP_CKV;2;EUR;896741.12;896741.12;2;31/07/2023;
5;20230731;1;1;GEL_2421640;0;0;1;;CTP_CKV;2;EUR;1093.30;1093.30;2;31/07/2023;
5;20230731;1;1;GEL_2421650;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2421655;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2421660;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2421670;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2421700;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2422000;0;0;1;;CTP_CKV;2;EUR;42780.80;42780.80;2;31/07/2023;
5;20230731;1;1;GEL_2422100;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2422300;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2422400;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2423100;0;0;1;;CTP_CKV;2;EUR;6392.10;6392.10;2;31/07/2023;
5;20230731;1;1;GEL_2423110;0;0;1;;CTP_CKV;2;EUR;2383.22;2383.22;2;31/07/2023;
5;20230731;1;1;GEL_2423111;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2423112;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2423113;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
